WASP-33 b	2.8	1.603	1.21986967	0.02558	0	87.7	0.000221	2010	2020-07-13
HATS-47 b	0.369	1.117	3.9228038	0.04269	0.088	87.08	—	2020	2020-02-17
HATS-48A b	0.243	0.8	3.1316666	0.03769	0.162	89.58	—	2020	2020-02-17
HATS-49 b	0.353	0.765	4.1480467	0.04515	0.071	88.27	—	2020	2020-02-17
HATS-72 b	0.1254	0.7224	7.3279474	0.066517	0.013	88.56	—	2020	2020-02-17
KELT-2019-BLG-1953 c	0.28	—	—	0.8	—	—	—	2020	2020-02-14
KELT-2019-BLG-1953 b	0.59	—	—	0.8	—	—	—	2020	2020-02-14
Kepler-538 b	0.0334	0.19761	81.73778	0.3548	0.041	89.73	—	2016	2020-02-13
2MASS J1155-7919 b	10	—	—	582	—	—	—	2020	2020-02-13
HD 191939 b	—	0.3007	8.880411	0.089	—	88.66	—	2020	2020-02-11
HD 191939 c	—	0.2873	28.5806	0.178	—	89.14	—	2020	2020-02-11
HD 191939 d	—	0.2819	38.3561	0.216	—	89.49	—	2020	2020-02-11
WASP-128 b	37.19	0.937	2.20883665	0.0359	0	89.1	—	2018	2020-02-07
TOI-1406 b	46	0.86	10.57415	—	—	—	—	—	2020-02-07
YZ Cet d	—	—	4.65626	0.02851	0.129	—	—	2017	2020-02-06
YZ Cet c	—	—	3.05989	0.02156	0.04	—	—	2017	2020-02-06
YZ Cet b	—	—	2.02087	0.01634	0	—	—	2017	2020-02-06
EPIC 249893012 c	0.04616	0.3274	15.624	0.13	0.07	87.94	—	2020	2020-02-06
EPIC 249893012 d	0.03203	0.3515	35.747	0.22	0.15	—	—	2020	2020-02-06
EPIC 249893012 b	0.02753	0.174	3.5951	0.047	0.06	86.14	—	2020	2020-02-06
HIP 57050 c	—	—	532.635	0.91	0.375	—	—	2017	2020-02-04
HIP 57050 b	—	—	41.38	0.166	0.375	—	0.014864	2010	2020-02-04
Kepler-1625 b	11.6	0.6	287.378949	—	—	—	—	2016	2020-01-30
L 168-9 b	0.0145	0.124	1.4015	0.02091	0.21	85.5	—	2020	2020-01-28
TOI-257 b	0.134	0.626	18.38827	0.1523	0.24	88.78	—	2020	2020-01-23
HD 51608 c	—	—	95.87	0.38833	0.232	—	0.010894	2011	2020-01-17
HD 51608 b	—	—	14.071	0.10805	0.081	—	0.003043	2011	2020-01-17
GJ 433 c	—	—	4874	4.692	0.21	—	0.39823	2012	2020-01-10
GJ 433 b	—	—	7.3708	0.062	0.02	—	0.006416	2009	2020-01-10
GJ 180 b	—	—	17.132	0.092	0.02	—	—	2014	2020-01-10
GJ 229 A b	—	—	523.242	0.896	0.17	—	—	2014	2020-01-10
Kepler-1630 b	—	0.195	509.997402	—	—	—	—	2016	2020-01-10
Kepler-1571 b	—	0.136	3.38555488	—	—	—	—	2016	2020-01-10
Kepler-1661 (AB) b	0.053	—	175.06	—	0.06	89.464	—	2019	2020-01-10
GJ 229 B	35	—	52890	19.433	0.03	—	—	1995	2020-01-09
GJ 422 b	—	—	20.129	0.111	0.1	—	—	2014	2020-01-09
GJ 180 d	—	—	106.341	0.31	0.16	—	—	2020	2020-01-09
GJ 229 A c	—	—	122.005	0.339	0.29	—	—	2020	2020-01-09
GJ 3082 b	—	—	11.949	0.079	0.26	—	—	2020	2020-01-09
GJ 433 d	—	—	36.052	0.178	0.03	—	—	2020	2020-01-09
DH Tau b	11	—	—	330	—	—	—	2005	2020-01-08
TOI-700 c	0.0249	0.2346	16.051998	0.0925	0.033	88.9	—	2020	2020-01-07
TOI-700 b	0.00406	0.0901	9.97701	0.0637	0.032	89.67	—	2020	2020-01-07
TOI-700 d	0.00711	0.1062	37.426	0.163	0.032	89.73	—	2020	2020-01-07
Kepler-278 c	0.1098	0.29155	51.111	0.287	0.616	88.58	—	2014	2019-12-26
Kepler-278 b	0.176	0.35284	30.1556	0.202	0.696	85.11	—	2014	2019-12-26
HD 38677 b	—	—	18.57	0.1462	0.083	—	—	2019	2019-12-26
HD 11231 b	—	—	5.2049	0.0664	0.083	—	—	2019	2019-12-26
HD 42936 b	—	—	6.6732	0.0662	0.14	—	—	2019	2019-12-26
HD 80653 b	0.0176	0.1439	0.719573	0.0166	—	82.1	—	2019	2019-12-26
TOI-564 b	1.463	1.02	1.651144	0.02734	0.072	78.38	—	2019	2019-12-26
TOI-905 b	0.667	1.171	3.739494	0.04666	0.024	85.68	—	2019	2019-12-26
XO-7 b	0.709	1.373	2.8641424	0.04421	0.038	83.45	—	2019	2019-12-24
OGLE-2013-BLG-0911L b	10.08	—	—	10.8	—	—	—	2019	2019-12-23
